age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,sex_lab,education_lab,income_<=50K,income_>50K,income
-0.4394030328215719,Slf-emp-inc,121441,11th,-0.6849365112757129,Married-cv-spouse,Exec-anagerial,Unmaried,Whit,Female,-0.2656808957592349,-0.2801964203318739,-0.6784411892022236,United-States,3,1,False,True,>50K
-5.452e-17,Self-emp-inc,115443,11th,0.9218918890166647,Married-cv-spouse,Craft-repair,Husband,White,Male,-0.2656110154289802,-0.2801964203318739,-0.42383102011761864,United-States,8,1,True,False,<=50K
-0.4459368198658213,Slf-emp-inc,35633,Some-college,-0.7318311236743371,Married-civ-spouse,Craft-repai,Unmarried,White,Female,-0.2656808957592349,-0.2801964203318739,-0.6275191553853027,Mexico,3,15,True,False,<=50K
-0.4426998978438995,Slf-emp-inc,113324,HS-grad,0.0,Married-cv-spouse,Exec-manageial,Notin-family,Wite,Mal,0.0,-0.2801964203318739,0.0,United-States,7,11,True,False,<=50K
-0.4467760218715046,Private,183612,HS-grad,-0.6380418988770886,Widowed,Prof-specialty,Husband,White,Male,0.0,-0.22517670048554006,-0.6275191553853027,United-States,8,11,False,True,>50K
-0.44611664886703917,Private,413494,Bachelors,-0.6380418988770886,Married-civ-spouse,Craft-repai,Unmaried,White,Male,-0.2656808957592349,-0.2801964203318739,-0.6275191553853027,United-States,8,9,False,True,>50K
-0.43844394481507654,Slf-emp-inc,235485,Bachelors,-0.5442526740798401,Married-civ-spoue,Exec-manageral,Husban,Black,Female,0.0,-0.2801964203318739,0.941278733077954,United-States,3,9,False,True,>50K
0.6704337763090836,State-gov,352768,HS-grad,-0.6380418988770886,Divorced,Craft-repai,Own-child,Other,Female,-0.2621597035625101,-4.78e-17,0.39092152095311744,United-States,3,11,True,False,<=50K
-5.452e-17,Self-emp-not-inc,192755,HS-grad,-0.5442526740798401,Widowed,Machine-op-inspct,Wife,White,Female,-0.26559501589208684,-0.2801964203318739,0.0,United-States,3,11,False,True,>50K
-0.4458169338650093,Slf-emp-inc,224141,HS-grad,-0.6145945926777765,Married-civ-spouse,Craft-repai,Unmaried,Other,Male,-0.2656808957592349,-0.2789089483774946,-0.6275191553853027,United-States,8,11,True,False,<=50K
-0.44503767485973184,Private,232991,5th-6th,-0.6145945926777765,Married-cv-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,0.39852134363885244,-0.2185291412108875,0.0,Mexico,8,4,True,False,<=50K
-0.44425841585445436,Slf-emp-inc,39615,Some-college,0.9218918890166647,Married-cv-spouse,Prof-specialty,Not-in-family,White,Female,-0.2656808957592349,-4.78e-17,0.941278733077954,United-States,3,15,True,False,<=50K
-5.452e-17,Slf-emp-inc,289669,Masters,0.0,Married-cv-spouse,Prof-specialty,Unmarried,Black,Female,-0.2656808957592349,-0.2801964203318739,0.941278733077954,United-States,3,12,False,True,>50K
-5.452e-17,State-gov,293917,HS-grad,-0.6849365112757129,Married-civ-spouse,Transport-moving,Wife,White,Female,-0.2656808957592349,-0.2801964203318739,-0.5893276300226119,United-States,3,11,False,True,>50K
-0.4452175038609497,State-gov,190406,Prof-school,-0.49735806168121577,Separated,Prof-specialty,Unmaried,Black,Male,-0.26271204051629127,-4.78e-17,-0.6275191553853027,United-States,8,14,False,True,>50K
-0.44737545187556416,Private,167350,HS-grad,0.9218918890166647,Married-cv-spouse,Prof-specialty,Other-relative,Black,Female,-0.26240710816608875,-0.24448877980123035,0.941278733077954,United-States,3,11,True,False,<=50K
-5.452e-17,Private,175942,Bachelors,0.0,Widowed,Craft-repai,Husband,White,Male,-0.2656808957592349,-0.2801964203318739,0.0,Mexico,8,9,False,True,>50K
-0.4391033178195421,Lcal-gov,278553,Prof-school,-0.6145945926777765,Maried-civ-spouse,Craft-repai,Other-relatve,Asian-Pc-Islander,ale,0.39852134363885244,-0.2801964203318739,0.941278733077954,United-States,10,14,False,True,>50K
0.6704337763090836,Private,151267,Assoc-voc,-0.6380418988770886,Divorced,Armed-Forces,Unmarried,Black,Female,-0.2656808957592349,-0.2801964203318739,-0.6275191553853027,United-States,3,8,True,False,<=50K
-0.43898343181873023,Sel-emp-inc,234938,HS-grad,0.0,Marrie-civ-spouse,Sals,usband,Wite,Mae,0.0,-0.2801964203318739,-0.45565729125319426,United-States,6,11,True,False,<=50K
-0.44761522387718805,Slf-emp-inc,204935,HS-grad,-0.6380418988770886,Never-married,Craft-repai,Own-child,White,Female,-0.26477645135014666,-4.78e-17,-0.5638666131141514,United-States,3,11,True,False,<=50K
-5.452e-17,Private,271160,Assoc-voc,0.0,Married-cv-spouse,Adm-clerical,Unmaried,White,Female,-0.2590063830706786,-0.2801964203318739,-0.6275191553853027,United-States,3,8,True,False,<=50K
-0.44755528087678204,Slf-emp-inc,96480,Assoc-voc,0.0,Married-civ-spouse,Armed-Forces,Unmaried,Other,Female,0.0,-0.2801964203318739,-0.6275191553853027,United-States,3,8,False,True,>50K
-0.17607343203820103,Self-emp-inc,108116,Bachelors,-0.520805367880528,Married-civ-spouse,Adm-clerical,Husband,Black,Male,-0.26493432913331477,0.42029463049781074,-0.5002140708430002,United-States,8,9,False,True,>50K
-5.452e-17,Slf-emp-inc,135617,11th,-0.6849365112757129,Married-civ-spouse,Craft-repair,Husband,Black,Female,-0.2656808957592349,-0.2801964203318739,0.0,United-States,3,1,True,False,<=50K
-0.4470157938731285,Without-pay,143822,Masters,0.0,Widowed,Armed-Forces,Unmaried,Other,Female,0.0,-0.2801964203318739,0.0,United-States,3,12,False,True,>50K
-0.4483345398820595,Private,211319,Bachelors,-0.6380418988770886,Married-cv-spouse,Exec-managerial,Unmaried,White,Male,0.0,-4.78e-17,-0.5002140708430002,United-States,8,9,False,True,>50K
-5.452e-17,Local-gov,214242,Some-college,-0.7318311236743371,Married-civ-spouse,Craft-repair,Husband,White,Female,-0.2656808957592349,-4.78e-17,0.941278733077954,United-States,3,15,False,True,>50K
0.6704337763090836,Slf-emp-inc,107914,Bachelors,-0.5442526740798401,Married-civ-spouse,Tech-support,Husband,Other,Male,-0.2618517124773133,-0.21561262311015061,-0.6402496638395329,United-States,8,9,False,True,>50K
-0.4467760218715046,Priate,179358,HS-grad,0.0,Married-cv-spouse,Handler-cleaners,Unmaried,Black,emale,-0.2656808957592349,-0.26387968393045397,0.941278733077954,United-States,11,11,True,False,<=50K
-0.44749533787637613,Slf-emp-inc,144483,Assoc-voc,-0.6380418988770886,Divorced,Sales,Own-child,White,Female,-0.2656808957592349,-4.78e-17,-0.6593454265208782,United-States,3,8,True,False,<=50K
-0.4401822918268493,Pivate,405793,Assoc-acdm,-0.6849365112757129,Married-cv-spouse,Craft-repai,Husbnd,Whie,Mae,0.0,0.42029463049781074,-0.4874835623887699,United-States,6,7,False,True,>50K
-0.44635642086866295,Self-emp-not-inc,108947,Some-college,0.0,Widowed,Machine-op-inspct,Husband,White,Male,-0.26477645135014666,-0.250978689448816,-0.5638666131141514,United-States,8,15,False,True,>50K
-0.4467760218715046,Slf-emp-inc,38822,Masters,-0.6849365112757129,Married-civ-spouse,Exec-managerial,Husband,White,Male,-0.2625146344655043,-4.78e-17,-0.5638666131141514,United-States,8,12,False,True,>50K
-0.43886354581791825,Slf-emp-inc,292855,Assoc-voc,0.0,idowed,rof-specialty,ife,Othe,Fmale,-0.2640660013258902,-0.2801964203318739,-0.6593454265208782,United-States,5,8,False,True,>50K
-0.4489339698861191,Slf-emp-inc,378585,Bachelors,0.9218918890166647,Marrie-civ-spouse,Prof-pecialty,Unmaried,Whit,Female,-0.26332202286034984,-0.24501427855811983,0.941278733077954,United-States,3,9,False,True,>50K
-5.452e-17,Self-emp-not-inc,93449,Prof-school,0.0,Married-civ-spouse,Prof-specialty,Husband,Black,Female,-0.2656808957592349,-4.78e-17,0.941278733077954,Philippines,3,14,False,True,>50K
-0.4489339698861191,Slf-emp-inc,116580,Assoc-voc,-0.5911472864784644,Married-civ-spouse,Prof-specialty,Wife,White,Female,-0.2656808957592349,-0.2801964203318739,0.941278733077954,United-States,3,8,False,True,>50K
-0.44671607887109865,Slf-emp-inc,241153,Bachelors,0.0,Married-cv-spouse,Prof-specialty,Other-relative,Other,Male,-0.2639134175071353,-0.2801964203318739,-0.5638666131141514,United-States,8,9,False,True,>50K
-0.4464763068694748,Never-worked,130126,Some-college,-0.6849365112757129,Married-civ-spouse,Craft-repai,Husband,White,Male,-0.2656808957592349,-0.2801964203318739,-0.5829623757954968,United-States,8,15,False,True,>50K
-0.43982263382441356,Slf-emp-inc,220132,HS-grad,-0.6380418988770886,Mrried-civ-spouse,Adm-lerical,Unmaried,Wite,ale,-0.2648223323750614,-0.2786461989990498,-0.6275191553853027,United-States,10,11,False,True,>50K
-0.43988257682481957,Self-empinc,371103,Bachelors,-0.2628849996880946,Married-cv-spouse,Adm-cerical,Unarried,Back,Femae,-0.2656808957592349,-0.2801964203318739,0.0,United-States,1,9,True,False,<=50K
-0.44377887185120674,Slf-emp-inc,114691,11th,-0.6849365112757129,Married-cv-spouse,Craft-repair,Unmarried,White,Male,0.0,-0.2801964203318739,0.941278733077954,Ireland,8,1,True,False,<=50K
-0.4489339698861191,na,228372,Some-college,0.0,Marrie-civ-spouse,Craft-repai,Huband,Black,Mae,0.0,-0.2801964203318739,-0.7548242399276052,United-States,6,15,False,True,>50K
-0.44755528087678204,Self-emp-inc,139364,Bachelors,0.0,Married-cv-spouse,Craft-repai,Other-relative,Black,Male,0.0,-0.2801964203318739,-0.6147886469310724,United-States,8,9,False,True,>50K
-0.4489339698861191,Privae,222596,Bachelors,0.0,Married-cv-spouse,Adm-lerical,Huband,hite,Mae,0.0,-0.2801964203318739,-0.5765971215683816,United-States,6,9,False,True,>50K
-0.4489339698861191,na,97075,HS-grad,-0.6380418988770886,Divrced,nn,Unmarrid,Black,Female,-0.2656808957592349,-0.2801964203318739,0.0,United-States,3,11,True,False,<=50K
-5.452e-17,Local-gov,26832,HS-grad,0.0,Married-civ-spouse,Craft-repair,Other-relative,White,Male,-0.2656808957592349,-4.78e-17,-0.6275191553853027,United-States,8,11,False,True,>50K
-0.4489339698861191,Privae,145081,7th-8th,-0.520805367880528,Married-civ-spose,Machine-op-insct,Not-in-famiy,Asian-Pac-Islande,emale,-0.26146890002840945,-0.2435166071009847,-0.6275191553853027,United-States,11,5,True,False,<=50K
-0.4489339698861191,Slf-emp-inc,160594,Some-college,0.9218918890166647,Married-cv-spouse,Craft-repai,Unmaried,Black,ale,-0.2648223323750614,-0.2801964203318739,-0.7548242399276052,United-States,10,15,False,True,>50K
-0.4484544258828714,Private,87556,Masters,0.0,Never-married,Prof-specialty,Unmaried,Other,Male,-0.2656808957592349,-0.2801964203318739,0.0,United-States,8,12,False,True,>50K
-5.452e-17,Slf-emp-inc,195946,Some-college,-0.6145945926777765,Married-civ-spouse,Craft-repai,Husband,Black,Male,-0.26246087131579654,-0.2801964203318739,-0.5638666131141514,Philippines,8,15,False,True,>50K
-5.452e-17,Private,230329,Bachelors,-0.5442526740798401,Married-civ-spouse,Craft-repai,Unmaried,Other,Female,0.0,-0.2801964203318739,-0.7420937314733749,United-States,3,9,False,True,>50K
-0.43844394481507654,Prvate,126977,HS-grad,0.9218918890166647,Never-marrie,Craft-reair,nmarried,Oher,Mae,-0.2650717369207517,-0.2801964203318739,0.941278733077954,United-States,6,11,True,False,<=50K
